# WC pattern chains — spot what leads to odd (1) vs even (0) goals
# MD: 8 bits = WC slots 1..8 | tokens = slot:HW×FW:bit

=== VFLM 5397 ===
  MD02 01001100 | 1:UMW×HW:0 2:UMW×HW:1 3:FW×HW:0 4:LMW×HW:0 5:FW×UMW:1 6:LMW×UMW:1 7:FW×LMW:0 8:FW×LMW:0
  MD03 00101101 | 1:HW×UMW:0 2:HW×UMW:0 3:HW×FW:1 4:LMW×HW:0 5:FW×UMW:1 6:UMW×FW:1 7:LMW×FW:0 8:LMW×LMW:1
  MD04 00100101 | 1:UMW×HW:0 2:HW×HW:0 3:UMW×UMW:1 4:HW×FW:0 5:FW×UMW:0 6:LMW×LMW:1 7:FW×LMW:0 8:FW×LMW:1
  MD05 01001110 | 1:HW×HW:0 2:HW×UMW:1 3:UMW×HW:0 4:UMW×FW:0 5:FW×UMW:1 6:FW×LMW:1 7:LMW×LMW:1 8:LMW×FW:0
  MD06 01011110 | 1:HW×UMW:0 2:HW×UMW:1 3:LMW×HW:0 4:LMW×HW:1 5:UMW×FW:1 6:FW×UMW:1 7:LMW×FW:1 8:FW×LMW:0
  MD07 01101101 | 1:UMW×HW:0 2:UMW×UMW:1 3:FW×HW:1 4:HW×LMW:0 5:LMW×HW:1 6:LMW×UMW:1 7:LMW×FW:0 8:FW×FW:1
  MD08 10110000 | 1:HW×HW:1 2:HW×FW:0 3:FW×HW:1 4:UMW×FW:1 5:UMW×FW:0 6:LMW×UMW:0 7:UMW×LMW:0 8:LMW×LMW:0
  MD09 10000101 | 1:HW×UMW:1 2:HW×UMW:0 3:HW×LMW:0 4:LMW×HW:0 5:FW×UMW:0 6:FW×UMW:1 7:FW×LMW:0 8:LMW×FW:1
  MD10 11101001 | 1:UMW×HW:1 2:LMW×HW:1 3:HW×LMW:1 4:HW×LMW:0 5:LMW×UMW:1 6:FW×UMW:0 7:FW×UMW:0 8:FW×FW:1
  MD11 10100000 | 1:UMW×HW:1 2:HW×FW:0 3:HW×FW:1 4:FW×HW:0 5:UMW×LMW:0 6:UMW×LMW:0 7:LMW×UMW:0 8:LMW×FW:0
  MD12 00001000 | 1:UMW×HW:0 2:FW×HW:0 3:HW×LMW:0 4:FW×HW:0 5:LMW×UMW:1 6:FW×UMW:0 7:UMW×FW:0 8:LMW×LMW:0
